Y,t
2118.3201,1725
2122.26,1726
2128.1699,1727
2141.95,1728
2147.6001,1729
2152.5701,1730
2154.8,1731
2153.76,1732
2157.4199,1733
2162.6499,1734
2154.96,1735
2125.6699,1736
2133.52,1737
2154.0901,1738
2155.8899,1739
2149.8501,1740
2169,1741
2177.75,1742
2175.45,1743
2166.8701,1744
2170.8401,1745
2175.8,1746
2173.5801,1747
2176.52,1748
2195.5901,1749
2198.0701,1750
2190.97,1751
2195.8,1752
2192.76,1753
2185.21,1754
2173.8999,1755
2183.3799,1756
2199.1499,1757
2196,1758
2186.1299,1759
2183.9199,1760
2186.6001,1761
2173.29,1762
2178.8,1763
2177.6799,1764
2182.1599,1765
2196.02,1766
2206.6799,1767
2208.48,1768
2206.7,1769
2200.2,1770
2206.6001,1771
2195,1772
2202.77,1773
2221.5601,1774
2196.54,1775
2193.8899,1776
2191.71,1777
2204.3999,1778
2219.1899,1779
2231.6101,1780
2235.3899,1781
2233.4399,1782
2235.02,1783
2239.05,1784
2236.46,1785
2220.72,1786
2213.5801,1787
2230.8,1788
2248.3999,1789
2250.97,1790
2249.0701,1791
2255.48,1792
2252.4299,1793
2251.03,1794
2243.26,1795
2240.73,1796
2163.1101,1797
2175.78,1798
2170.1699,1799
2145.4299,1800
2125.3401,1801
2158.3601,1802
2153.6499,1803
2169.1399,1804
2170.6201,1805
2176.5,1806
2132.76,1807
2147.1799,1808
2155.1799,1809
2146.9299,1810
2170.3301,1811
2184.1001,1812
2221.46,1813
2220.6799,1814
2223.1201,1815
2225.26,1816
2211.52,1817
2194.3799,1818
2202.6799,1819
2200.1201,1820
2205.8501,1821
2226.76,1822
2229.26,1823
2236.71,1824
2238.03,1825
2243.9299,1826
2229.4399,1827
2243.3,1828
2251.1201,1829
2275.3501,1830
2280.01,1831
